Date,Day_Month,Quarter,Season
11/27/91,27-Nov,Q4,Fall
11/29/91,29-Nov,Q4,Fall
12/2/91,2-Dec,Q4,Winter
12/3/91,3-Dec,Q4,Winter
12/4/91,4-Dec,Q4,Winter
12/6/91,6-Dec,Q4,Winter
12/7/91,7-Dec,Q4,Winter
12/8/91,8-Dec,Q4,Winter
12/9/91,9-Dec,Q4,Winter
12/11/91,11-Dec,Q4,Winter
12/12/91,12-Dec,Q4,Winter
12/13/91,13-Dec,Q4,Winter
12/16/91,16-Dec,Q4,Winter
12/17/91,17-Dec,Q4,Winter
12/18/91,18-Dec,Q4,Winter
12/19/91,19-Dec,Q4,Winter
12/20/91,20-Dec,Q4,Winter
12/23/91,23-Dec,Q4,Winter
12/24/91,24-Dec,Q4,Winter
12/26/91,26-Dec,Q4,Winter
12/27/91,27-Dec,Q4,Winter
12/30/91,30-Dec,Q4,Winter
12/31/91,31-Dec,Q4,Winter
1/4/92,4-Jan,Q1,Winter
1/5/92,5-Jan,Q1,Winter
1/6/92,6-Jan,Q1,Winter
1/7/92,7-Jan,Q1,Winter
1/9/92,9-Jan,Q1,Winter
1/10/92,10-Jan,Q1,Winter
1/12/92,12-Jan,Q1,Winter
1/13/92,13-Jan,Q1,Winter
1/14/92,14-Jan,Q1,Winter
1/15/92,15-Jan,Q1,Winter
1/16/92,16-Jan,Q1,Winter
1/17/92,17-Jan,Q1,Winter
1/20/92,20-Jan,Q1,Winter
1/21/92,21-Jan,Q1,Winter
1/22/92,22-Jan,Q1,Winter
1/23/92,23-Jan,Q1,Winter
1/24/92,24-Jan,Q1,Winter
1/27/92,27-Jan,Q1,Winter
1/28/92,28-Jan,Q1,Winter
1/29/92,29-Jan,Q1,Winter
1/30/92,30-Jan,Q1,Winter
1/31/92,31-Jan,Q1,Winter
2/1/92,1-Feb,Q1,Winter
2/3/92,3-Feb,Q1,Winter
2/4/92,4-Feb,Q1,Winter
2/6/92,6-Feb,Q1,Winter
2/7/92,7-Feb,Q1,Winter
2/9/92,9-Feb,Q1,Winter
2/10/92,10-Feb,Q1,Winter
2/11/92,11-Feb,Q1,Winter
2/12/92,12-Feb,Q1,Winter
2/13/92,13-Feb,Q1,Winter
2/14/92,14-Feb,Q1,Winter
2/18/92,18-Feb,Q1,Winter
2/19/92,19-Feb,Q1,Winter
2/20/92,20-Feb,Q1,Winter
2/21/92,21-Feb,Q1,Winter
2/24/92,24-Feb,Q1,Winter
2/25/92,25-Feb,Q1,Winter
2/26/92,26-Feb,Q1,Winter
2/27/92,27-Feb,Q1,Winter
2/28/92,28-Feb,Q1,Winter
3/1/92,1-Mar,Q1,Spring
3/2/92,2-Mar,Q1,Spring
3/3/92,3-Mar,Q1,Spring
3/4/92,4-Mar,Q1,Spring
3/6/92,6-Mar,Q1,Spring
3/8/92,8-Mar,Q1,Spring
3/9/92,9-Mar,Q1,Spring
3/11/92,11-Mar,Q1,Spring
3/12/92,12-Mar,Q1,Spring
3/13/92,13-Mar,Q1,Spring
3/16/92,16-Mar,Q1,Spring
3/17/92,17-Mar,Q1,Spring
3/18/92,18-Mar,Q1,Spring
3/19/92,19-Mar,Q1,Spring
3/20/92,20-Mar,Q1,Spring
3/23/92,23-Mar,Q1,Spring
3/24/92,24-Mar,Q1,Spring
3/25/92,25-Mar,Q1,Spring
3/26/92,26-Mar,Q1,Spring
3/27/92,27-Mar,Q1,Spring
3/30/92,30-Mar,Q1,Spring
3/31/92,31-Mar,Q1,Spring
4/2/92,2-Apr,Q2,Spring
4/3/92,3-Apr,Q2,Spring
4/5/92,5-Apr,Q2,Spring
4/6/92,6-Apr,Q2,Spring
4/8/92,8-Apr,Q2,Spring
4/9/92,9-Apr,Q2,Spring
4/11/92,11-Apr,Q2,Spring
4/12/92,12-Apr,Q2,Spring
4/13/92,13-Apr,Q2,Spring
4/14/92,14-Apr,Q2,Spring
4/15/92,15-Apr,Q2,Spring
4/16/92,16-Apr,Q2,Spring
4/20/92,20-Apr,Q2,Spring
4/21/92,21-Apr,Q2,Spring
4/22/92,22-Apr,Q2,Spring
4/23/92,23-Apr,Q2,Spring
4/24/92,24-Apr,Q2,Spring
4/27/92,27-Apr,Q2,Spring
4/28/92,28-Apr,Q2,Spring
4/29/92,29-Apr,Q2,Spring
4/30/92,30-Apr,Q2,Spring
5/2/92,2-May,Q2,Spring
5/3/92,3-May,Q2,Spring
5/5/92,5-May,Q2,Spring
5/6/92,6-May,Q2,Spring
5/8/92,8-May,Q2,Spring
5/10/92,10-May,Q2,Spring
5/11/92,11-May,Q2,Spring
5/13/92,13-May,Q2,Spring
5/14/92,14-May,Q2,Spring
5/15/92,15-May,Q2,Spring
5/18/92,18-May,Q2,Spring
5/19/92,19-May,Q2,Spring
5/20/92,20-May,Q2,Spring
5/21/92,21-May,Q2,Spring
5/22/92,22-May,Q2,Spring
5/26/92,26-May,Q2,Spring
5/27/92,27-May,Q2,Spring
5/28/92,28-May,Q2,Spring
5/29/92,29-May,Q2,Spring
6/1/92,1-Jun,Q2,Summer
6/2/92,2-Jun,Q2,Summer
6/3/92,3-Jun,Q2,Summer
6/4/92,4-Jun,Q2,Summer
6/5/92,5-Jun,Q2,Summer
6/7/92,7-Jun,Q2,Summer
6/8/92,8-Jun,Q2,Summer
6/10/92,10-Jun,Q2,Summer
6/11/92,11-Jun,Q2,Summer
6/15/92,15-Jun,Q2,Summer
6/16/92,16-Jun,Q2,Summer
6/17/92,17-Jun,Q2,Summer
6/18/92,18-Jun,Q2,Summer
6/19/92,19-Jun,Q2,Summer
6/22/92,22-Jun,Q2,Summer
6/23/92,23-Jun,Q2,Summer
6/24/92,24-Jun,Q2,Summer
6/25/92,25-Jun,Q2,Summer
6/26/92,26-Jun,Q2,Summer
6/29/92,29-Jun,Q2,Summer
6/30/92,30-Jun,Q2,Summer
7/1/92,1-Jul,Q3,Summer
7/2/92,2-Jul,Q3,Summer
7/4/92,4-Jul,Q3,Summer
7/5/92,5-Jul,Q3,Summer
7/7/92,7-Jul,Q3,Summer
7/8/92,8-Jul,Q3,Summer
7/10/92,10-Jul,Q3,Summer
7/12/92,12-Jul,Q3,Summer
7/13/92,13-Jul,Q3,Summer
7/14/92,14-Jul,Q3,Summer
7/15/92,15-Jul,Q3,Summer
7/16/92,16-Jul,Q3,Summer
7/17/92,17-Jul,Q3,Summer
7/20/92,20-Jul,Q3,Summer
7/21/92,21-Jul,Q3,Summer
7/22/92,22-Jul,Q3,Summer
7/23/92,23-Jul,Q3,Summer
7/24/92,24-Jul,Q3,Summer
7/27/92,27-Jul,Q3,Summer
7/28/92,28-Jul,Q3,Summer
7/29/92,29-Jul,Q3,Summer
7/30/92,30-Jul,Q3,Summer
7/31/92,31-Jul,Q3,Summer
8/1/92,1-Aug,Q3,Summer
8/4/92,4-Aug,Q3,Summer
8/5/92,5-Aug,Q3,Summer
8/6/92,6-Aug,Q3,Summer
8/7/92,7-Aug,Q3,Summer
8/9/92,9-Aug,Q3,Summer
8/10/92,10-Aug,Q3,Summer
8/12/92,12-Aug,Q3,Summer
8/13/92,13-Aug,Q3,Summer
8/14/92,14-Aug,Q3,Summer
8/17/92,17-Aug,Q3,Summer
8/18/92,18-Aug,Q3,Summer
8/19/92,19-Aug,Q3,Summer
8/20/92,20-Aug,Q3,Summer
8/21/92,21-Aug,Q3,Summer
8/24/92,24-Aug,Q3,Summer
8/25/92,25-Aug,Q3,Summer
8/26/92,26-Aug,Q3,Summer
8/27/92,27-Aug,Q3,Summer
8/28/92,28-Aug,Q3,Summer
8/31/92,31-Aug,Q3,Summer
9/1/92,1-Sep,Q3,Fall
9/3/92,3-Sep,Q3,Fall
9/4/92,4-Sep,Q3,Fall
9/6/92,6-Sep,Q3,Fall
9/7/92,7-Sep,Q3,Fall
9/9/92,9-Sep,Q3,Fall
9/10/92,10-Sep,Q3,Fall
9/11/92,11-Sep,Q3,Fall
9/12/92,12-Sep,Q3,Fall
9/14/92,14-Sep,Q3,Fall
9/15/92,15-Sep,Q3,Fall
9/16/92,16-Sep,Q3,Fall
9/17/92,17-Sep,Q3,Fall
9/18/92,18-Sep,Q3,Fall
9/21/92,21-Sep,Q3,Fall
9/22/92,22-Sep,Q3,Fall
9/23/92,23-Sep,Q3,Fall
9/24/92,24-Sep,Q3,Fall
9/25/92,25-Sep,Q3,Fall
9/28/92,28-Sep,Q3,Fall
9/29/92,29-Sep,Q3,Fall
9/30/92,30-Sep,Q3,Fall
10/1/92,1-Oct,Q4,Fall
10/2/92,2-Oct,Q4,Fall
10/3/92,3-Oct,Q4,Fall
10/4/92,4-Oct,Q4,Fall
10/6/92,6-Oct,Q4,Fall
10/7/92,7-Oct,Q4,Fall
10/8/92,8-Oct,Q4,Fall
10/9/92,9-Oct,Q4,Fall
10/11/92,11-Oct,Q4,Fall
10/12/92,12-Oct,Q4,Fall
10/13/92,13-Oct,Q4,Fall
10/14/92,14-Oct,Q4,Fall
10/15/92,15-Oct,Q4,Fall
10/16/92,16-Oct,Q4,Fall
10/19/92,19-Oct,Q4,Fall
10/20/92,20-Oct,Q4,Fall
10/21/92,21-Oct,Q4,Fall
10/22/92,22-Oct,Q4,Fall
10/23/92,23-Oct,Q4,Fall
10/26/92,26-Oct,Q4,Fall
10/27/92,27-Oct,Q4,Fall
10/28/92,28-Oct,Q4,Fall
10/29/92,29-Oct,Q4,Fall
10/30/92,30-Oct,Q4,Fall
11/2/92,2-Nov,Q4,Fall
11/3/92,3-Nov,Q4,Fall
11/5/92,5-Nov,Q4,Fall
11/6/92,6-Nov,Q4,Fall
11/8/92,8-Nov,Q4,Fall
11/9/92,9-Nov,Q4,Fall
11/11/92,11-Nov,Q4,Fall
11/12/92,12-Nov,Q4,Fall
11/13/92,13-Nov,Q4,Fall
11/16/92,16-Nov,Q4,Fall
11/17/92,17-Nov,Q4,Fall
11/18/92,18-Nov,Q4,Fall
11/19/92,19-Nov,Q4,Fall
11/20/92,20-Nov,Q4,Fall
11/23/92,23-Nov,Q4,Fall
11/24/92,24-Nov,Q4,Fall
11/25/92,25-Nov,Q4,Fall
11/27/92,27-Nov,Q4,Fall
11/30/92,30-Nov,Q4,Fall
12/2/92,2-Dec,Q4,Winter
12/3/92,3-Dec,Q4,Winter
12/5/92,5-Dec,Q4,Winter
12/6/92,6-Dec,Q4,Winter
12/8/92,8-Dec,Q4,Winter
12/10/92,10-Dec,Q4,Winter
12/11/92,11-Dec,Q4,Winter
12/14/92,14-Dec,Q4,Winter
12/15/92,15-Dec,Q4,Winter
12/16/92,16-Dec,Q4,Winter
12/17/92,17-Dec,Q4,Winter
12/18/92,18-Dec,Q4,Winter
12/21/92,21-Dec,Q4,Winter
12/22/92,22-Dec,Q4,Winter
12/23/92,23-Dec,Q4,Winter
12/24/92,24-Dec,Q4,Winter
12/28/92,28-Dec,Q4,Winter
12/29/92,29-Dec,Q4,Winter
12/30/92,30-Dec,Q4,Winter
12/31/92,31-Dec,Q4,Winter
1/2/93,2-Jan,Q1,Winter
1/3/93,3-Jan,Q1,Winter
1/4/93,4-Jan,Q1,Winter
1/6/93,6-Jan,Q1,Winter
1/7/93,7-Jan,Q1,Winter
1/9/93,9-Jan,Q1,Winter
1/10/93,10-Jan,Q1,Winter
1/11/93,11-Jan,Q1,Winter
1/12/93,12-Jan,Q1,Winter
1/13/93,13-Jan,Q1,Winter
1/14/93,14-Jan,Q1,Winter
1/15/93,15-Jan,Q1,Winter
1/18/93,18-Jan,Q1,Winter
1/19/93,19-Jan,Q1,Winter
1/20/93,20-Jan,Q1,Winter
1/21/93,21-Jan,Q1,Winter
1/22/93,22-Jan,Q1,Winter
1/25/93,25-Jan,Q1,Winter
1/26/93,26-Jan,Q1,Winter
1/27/93,27-Jan,Q1,Winter
1/28/93,28-Jan,Q1,Winter
1/29/93,29-Jan,Q1,Winter
2/2/93,2-Feb,Q1,Winter
2/3/93,3-Feb,Q1,Winter
2/4/93,4-Feb,Q1,Winter
2/6/93,6-Feb,Q1,Winter
2/7/93,7-Feb,Q1,Winter
2/8/93,8-Feb,Q1,Winter
2/9/93,9-Feb,Q1,Winter
2/11/93,11-Feb,Q1,Winter
2/12/93,12-Feb,Q1,Winter
2/16/93,16-Feb,Q1,Winter
2/17/93,17-Feb,Q1,Winter
2/18/93,18-Feb,Q1,Winter
2/19/93,19-Feb,Q1,Winter
2/22/93,22-Feb,Q1,Winter
2/23/93,23-Feb,Q1,Winter
2/24/93,24-Feb,Q1,Winter
2/25/93,25-Feb,Q1,Winter
2/26/93,26-Feb,Q1,Winter
3/2/93,2-Mar,Q1,Spring
3/3/93,3-Mar,Q1,Spring
3/5/93,5-Mar,Q1,Spring
3/6/93,6-Mar,Q1,Spring
3/8/93,8-Mar,Q1,Spring
3/9/93,9-Mar,Q1,Spring
3/11/93,11-Mar,Q1,Spring
3/12/93,12-Mar,Q1,Spring
3/15/93,15-Mar,Q1,Spring
3/16/93,16-Mar,Q1,Spring
3/17/93,17-Mar,Q1,Spring
3/18/93,18-Mar,Q1,Spring
3/19/93,19-Mar,Q1,Spring
3/22/93,22-Mar,Q1,Spring
3/23/93,23-Mar,Q1,Spring
3/24/93,24-Mar,Q1,Spring
3/25/93,25-Mar,Q1,Spring
3/26/93,26-Mar,Q1,Spring
3/29/93,29-Mar,Q1,Spring
3/30/93,30-Mar,Q1,Spring
3/31/93,31-Mar,Q1,Spring
4/1/93,1-Apr,Q2,Spring
4/2/93,2-Apr,Q2,Spring
4/3/93,3-Apr,Q2,Spring
4/5/93,5-Apr,Q2,Spring
4/6/93,6-Apr,Q2,Spring
4/8/93,8-Apr,Q2,Spring
4/10/93,10-Apr,Q2,Spring
4/11/93,11-Apr,Q2,Spring
4/13/93,13-Apr,Q2,Spring
4/14/93,14-Apr,Q2,Spring
4/15/93,15-Apr,Q2,Spring
4/16/93,16-Apr,Q2,Spring
4/19/93,19-Apr,Q2,Spring
4/20/93,20-Apr,Q2,Spring
4/21/93,21-Apr,Q2,Spring
4/22/93,22-Apr,Q2,Spring
4/23/93,23-Apr,Q2,Spring
4/26/93,26-Apr,Q2,Spring
4/27/93,27-Apr,Q2,Spring
4/28/93,28-Apr,Q2,Spring
4/29/93,29-Apr,Q2,Spring
4/30/93,30-Apr,Q2,Spring
5/1/93,1-May,Q2,Spring
5/2/93,2-May,Q2,Spring
5/3/93,3-May,Q2,Spring
5/4/93,4-May,Q2,Spring
5/5/93,5-May,Q2,Spring
5/8/93,8-May,Q2,Spring
5/10/93,10-May,Q2,Spring
5/11/93,11-May,Q2,Spring
5/13/93,13-May,Q2,Spring
5/14/93,14-May,Q2,Spring
5/17/93,17-May,Q2,Spring
5/18/93,18-May,Q2,Spring
5/19/93,19-May,Q2,Spring
5/20/93,20-May,Q2,Spring
5/21/93,21-May,Q2,Spring
5/24/93,24-May,Q2,Spring
5/25/93,25-May,Q2,Spring
5/26/93,26-May,Q2,Spring
5/27/93,27-May,Q2,Spring
5/28/93,28-May,Q2,Spring
6/1/93,1-Jun,Q2,Summer
6/4/93,4-Jun,Q2,Summer
6/5/93,5-Jun,Q2,Summer
6/7/93,7-Jun,Q2,Summer
6/8/93,8-Jun,Q2,Summer
6/10/93,10-Jun,Q2,Summer
6/12/93,12-Jun,Q2,Summer
6/14/93,14-Jun,Q2,Summer
6/15/93,15-Jun,Q2,Summer
6/16/93,16-Jun,Q2,Summer
6/17/93,17-Jun,Q2,Summer
6/18/93,18-Jun,Q2,Summer
6/21/93,21-Jun,Q2,Summer
6/22/93,22-Jun,Q2,Summer
6/23/93,23-Jun,Q2,Summer
6/24/93,24-Jun,Q2,Summer
6/25/93,25-Jun,Q2,Summer
6/28/93,28-Jun,Q2,Summer
6/29/93,29-Jun,Q2,Summer
6/30/93,30-Jun,Q2,Summer
7/1/93,1-Jul,Q3,Summer
7/4/93,4-Jul,Q3,Summer
7/5/93,5-Jul,Q3,Summer
7/6/93,6-Jul,Q3,Summer
7/7/93,7-Jul,Q3,Summer
7/9/93,9-Jul,Q3,Summer
7/10/93,10-Jul,Q3,Summer
7/12/93,12-Jul,Q3,Summer
7/13/93,13-Jul,Q3,Summer
7/14/93,14-Jul,Q3,Summer
7/15/93,15-Jul,Q3,Summer
7/16/93,16-Jul,Q3,Summer
7/19/93,19-Jul,Q3,Summer
7/20/93,20-Jul,Q3,Summer
7/21/93,21-Jul,Q3,Summer
7/22/93,22-Jul,Q3,Summer
7/23/93,23-Jul,Q3,Summer
7/26/93,26-Jul,Q3,Summer
7/27/93,27-Jul,Q3,Summer
7/28/93,28-Jul,Q3,Summer
7/29/93,29-Jul,Q3,Summer
7/30/93,30-Jul,Q3,Summer
8/1/93,1-Aug,Q3,Summer
8/2/93,2-Aug,Q3,Summer
8/3/93,3-Aug,Q3,Summer
8/4/93,4-Aug,Q3,Summer
8/6/93,6-Aug,Q3,Summer
8/7/93,7-Aug,Q3,Summer
8/9/93,9-Aug,Q3,Summer
8/10/93,10-Aug,Q3,Summer
8/11/93,11-Aug,Q3,Summer
8/12/93,12-Aug,Q3,Summer
8/13/93,13-Aug,Q3,Summer
8/16/93,16-Aug,Q3,Summer
8/17/93,17-Aug,Q3,Summer
8/18/93,18-Aug,Q3,Summer
8/19/93,19-Aug,Q3,Summer
8/20/93,20-Aug,Q3,Summer
8/23/93,23-Aug,Q3,Summer
8/24/93,24-Aug,Q3,Summer
8/25/93,25-Aug,Q3,Summer
8/26/93,26-Aug,Q3,Summer
8/27/93,27-Aug,Q3,Summer
8/30/93,30-Aug,Q3,Summer
8/31/93,31-Aug,Q3,Summer
9/2/93,2-Sep,Q3,Fall
9/3/93,3-Sep,Q3,Fall
9/6/93,6-Sep,Q3,Fall
9/7/93,7-Sep,Q3,Fall
9/8/93,8-Sep,Q3,Fall
9/9/93,9-Sep,Q3,Fall
9/11/93,11-Sep,Q3,Fall
9/12/93,12-Sep,Q3,Fall
9/13/93,13-Sep,Q3,Fall
9/14/93,14-Sep,Q3,Fall
9/15/93,15-Sep,Q3,Fall
9/16/93,16-Sep,Q3,Fall
9/17/93,17-Sep,Q3,Fall
9/20/93,20-Sep,Q3,Fall
9/21/93,21-Sep,Q3,Fall
9/22/93,22-Sep,Q3,Fall
9/23/93,23-Sep,Q3,Fall
9/24/93,24-Sep,Q3,Fall
9/27/93,27-Sep,Q3,Fall
9/28/93,28-Sep,Q3,Fall
9/29/93,29-Sep,Q3,Fall
9/30/93,30-Sep,Q3,Fall
10/2/93,2-Oct,Q4,Fall
10/3/93,3-Oct,Q4,Fall
10/5/93,5-Oct,Q4,Fall
10/6/93,6-Oct,Q4,Fall
10/8/93,8-Oct,Q4,Fall
10/9/93,9-Oct,Q4,Fall
10/11/93,11-Oct,Q4,Fall
10/12/93,12-Oct,Q4,Fall
10/13/93,13-Oct,Q4,Fall
10/14/93,14-Oct,Q4,Fall
10/15/93,15-Oct,Q4,Fall
10/18/93,18-Oct,Q4,Fall
10/19/93,19-Oct,Q4,Fall
10/20/93,20-Oct,Q4,Fall
10/21/93,21-Oct,Q4,Fall
10/22/93,22-Oct,Q4,Fall
10/25/93,25-Oct,Q4,Fall
10/26/93,26-Oct,Q4,Fall
10/27/93,27-Oct,Q4,Fall
10/28/93,28-Oct,Q4,Fall
10/29/93,29-Oct,Q4,Fall
11/1/93,1-Nov,Q4,Fall
11/2/93,2-Nov,Q4,Fall
11/3/93,3-Nov,Q4,Fall
11/5/93,5-Nov,Q4,Fall
11/6/93,6-Nov,Q4,Fall
11/8/93,8-Nov,Q4,Fall
11/10/93,10-Nov,Q4,Fall
11/11/93,11-Nov,Q4,Fall
11/15/93,15-Nov,Q4,Fall
11/16/93,16-Nov,Q4,Fall
11/17/93,17-Nov,Q4,Fall
11/18/93,18-Nov,Q4,Fall
11/19/93,19-Nov,Q4,Fall
11/22/93,22-Nov,Q4,Fall
11/23/93,23-Nov,Q4,Fall
11/24/93,24-Nov,Q4,Fall
11/26/93,26-Nov,Q4,Fall
11/29/93,29-Nov,Q4,Fall
11/30/93,30-Nov,Q4,Fall
12/1/93,1-Dec,Q4,Winter
12/2/93,2-Dec,Q4,Winter
12/3/93,3-Dec,Q4,Winter
12/4/93,4-Dec,Q4,Winter
12/5/93,5-Dec,Q4,Winter
12/7/93,7-Dec,Q4,Winter
12/8/93,8-Dec,Q4,Winter
12/10/93,10-Dec,Q4,Winter
12/11/93,11-Dec,Q4,Winter
12/13/93,13-Dec,Q4,Winter
12/14/93,14-Dec,Q4,Winter
12/15/93,15-Dec,Q4,Winter
12/16/93,16-Dec,Q4,Winter
12/17/93,17-Dec,Q4,Winter
12/20/93,20-Dec,Q4,Winter
12/21/93,21-Dec,Q4,Winter
12/22/93,22-Dec,Q4,Winter
12/23/93,23-Dec,Q4,Winter
12/27/93,27-Dec,Q4,Winter
12/28/93,28-Dec,Q4,Winter
12/29/93,29-Dec,Q4,Winter
12/30/93,30-Dec,Q4,Winter
12/31/93,31-Dec,Q4,Winter
1/2/94,2-Jan,Q1,Winter
1/3/94,3-Jan,Q1,Winter
1/6/94,6-Jan,Q1,Winter
1/7/94,7-Jan,Q1,Winter
1/8/94,8-Jan,Q1,Winter
1/9/94,9-Jan,Q1,Winter
1/11/94,11-Jan,Q1,Winter
1/12/94,12-Jan,Q1,Winter
1/13/94,13-Jan,Q1,Winter
1/14/94,14-Jan,Q1,Winter
1/17/94,17-Jan,Q1,Winter
1/18/94,18-Jan,Q1,Winter
1/19/94,19-Jan,Q1,Winter
1/20/94,20-Jan,Q1,Winter
1/21/94,21-Jan,Q1,Winter
1/24/94,24-Jan,Q1,Winter
1/25/94,25-Jan,Q1,Winter
1/26/94,26-Jan,Q1,Winter
1/27/94,27-Jan,Q1,Winter
1/28/94,28-Jan,Q1,Winter
1/31/94,31-Jan,Q1,Winter
2/2/94,2-Feb,Q1,Winter
2/3/94,3-Feb,Q1,Winter
2/5/94,5-Feb,Q1,Winter
2/6/94,6-Feb,Q1,Winter
2/8/94,8-Feb,Q1,Winter
2/9/94,9-Feb,Q1,Winter
2/11/94,11-Feb,Q1,Winter
2/12/94,12-Feb,Q1,Winter
2/14/94,14-Feb,Q1,Winter
2/15/94,15-Feb,Q1,Winter
2/16/94,16-Feb,Q1,Winter
2/17/94,17-Feb,Q1,Winter
2/18/94,18-Feb,Q1,Winter
2/22/94,22-Feb,Q1,Winter
2/23/94,23-Feb,Q1,Winter
2/24/94,24-Feb,Q1,Winter
2/25/94,25-Feb,Q1,Winter
2/28/94,28-Feb,Q1,Winter
3/1/94,1-Mar,Q1,Spring
3/2/94,2-Mar,Q1,Spring
3/3/94,3-Mar,Q1,Spring
3/5/94,5-Mar,Q1,Spring
3/6/94,6-Mar,Q1,Spring
3/8/94,8-Mar,Q1,Spring
3/10/94,10-Mar,Q1,Spring
3/11/94,11-Mar,Q1,Spring
3/14/94,14-Mar,Q1,Spring
3/15/94,15-Mar,Q1,Spring
3/16/94,16-Mar,Q1,Spring
3/17/94,17-Mar,Q1,Spring
3/18/94,18-Mar,Q1,Spring
3/21/94,21-Mar,Q1,Spring
3/22/94,22-Mar,Q1,Spring
3/23/94,23-Mar,Q1,Spring
3/24/94,24-Mar,Q1,Spring
3/25/94,25-Mar,Q1,Spring
3/28/94,28-Mar,Q1,Spring
3/29/94,29-Mar,Q1,Spring
3/30/94,30-Mar,Q1,Spring
3/31/94,31-Mar,Q1,Spring
4/1/94,1-Apr,Q2,Spring
4/2/94,2-Apr,Q2,Spring
4/3/94,3-Apr,Q2,Spring
4/4/94,4-Apr,Q2,Spring
4/5/94,5-Apr,Q2,Spring
4/8/94,8-Apr,Q2,Spring
4/10/94,10-Apr,Q2,Spring
4/11/94,11-Apr,Q2,Spring
4/13/94,13-Apr,Q2,Spring
4/14/94,14-Apr,Q2,Spring
4/15/94,15-Apr,Q2,Spring
4/18/94,18-Apr,Q2,Spring
4/19/94,19-Apr,Q2,Spring
4/20/94,20-Apr,Q2,Spring
4/21/94,21-Apr,Q2,Spring
4/22/94,22-Apr,Q2,Spring
4/25/94,25-Apr,Q2,Spring
4/26/94,26-Apr,Q2,Spring
4/28/94,28-Apr,Q2,Spring
4/29/94,29-Apr,Q2,Spring
5/1/94,1-May,Q2,Spring
5/4/94,4-May,Q2,Spring
5/5/94,5-May,Q2,Spring
5/7/94,7-May,Q2,Spring
5/8/94,8-May,Q2,Spring
5/10/94,10-May,Q2,Spring
5/12/94,12-May,Q2,Spring
5/13/94,13-May,Q2,Spring
5/16/94,16-May,Q2,Spring
5/17/94,17-May,Q2,Spring
5/18/94,18-May,Q2,Spring
5/19/94,19-May,Q2,Spring
5/20/94,20-May,Q2,Spring
5/23/94,23-May,Q2,Spring
5/24/94,24-May,Q2,Spring
5/25/94,25-May,Q2,Spring
5/26/94,26-May,Q2,Spring
5/27/94,27-May,Q2,Spring
5/31/94,31-May,Q2,Spring
6/1/94,1-Jun,Q2,Summer
6/4/94,4-Jun,Q2,Summer
6/5/94,5-Jun,Q2,Summer
6/6/94,6-Jun,Q2,Summer
6/7/94,7-Jun,Q2,Summer
6/9/94,9-Jun,Q2,Summer
6/10/94,10-Jun,Q2,Summer
6/12/94,12-Jun,Q2,Summer
6/13/94,13-Jun,Q2,Summer
6/14/94,14-Jun,Q2,Summer
6/15/94,15-Jun,Q2,Summer
6/16/94,16-Jun,Q2,Summer
6/17/94,17-Jun,Q2,Summer
6/20/94,20-Jun,Q2,Summer
6/21/94,21-Jun,Q2,Summer
6/22/94,22-Jun,Q2,Summer
6/23/94,23-Jun,Q2,Summer
6/24/94,24-Jun,Q2,Summer
6/27/94,27-Jun,Q2,Summer
6/28/94,28-Jun,Q2,Summer
6/29/94,29-Jun,Q2,Summer
6/30/94,30-Jun,Q2,Summer
7/1/94,1-Jul,Q3,Summer
7/2/94,2-Jul,Q3,Summer
7/3/94,3-Jul,Q3,Summer
7/4/94,4-Jul,Q3,Summer
7/6/94,6-Jul,Q3,Summer
7/7/94,7-Jul,Q3,Summer
7/9/94,9-Jul,Q3,Summer
7/10/94,10-Jul,Q3,Summer
7/11/94,11-Jul,Q3,Summer
7/12/94,12-Jul,Q3,Summer
7/13/94,13-Jul,Q3,Summer
7/14/94,14-Jul,Q3,Summer
7/15/94,15-Jul,Q3,Summer
7/18/94,18-Jul,Q3,Summer
7/19/94,19-Jul,Q3,Summer
7/20/94,20-Jul,Q3,Summer
7/21/94,21-Jul,Q3,Summer
7/22/94,22-Jul,Q3,Summer
7/25/94,25-Jul,Q3,Summer
7/26/94,26-Jul,Q3,Summer
7/27/94,27-Jul,Q3,Summer
7/28/94,28-Jul,Q3,Summer
7/29/94,29-Jul,Q3,Summer
8/2/94,2-Aug,Q3,Summer
8/3/94,3-Aug,Q3,Summer
8/4/94,4-Aug,Q3,Summer
8/6/94,6-Aug,Q3,Summer
8/7/94,7-Aug,Q3,Summer
8/8/94,8-Aug,Q3,Summer
8/9/94,9-Aug,Q3,Summer
8/11/94,11-Aug,Q3,Summer
8/12/94,12-Aug,Q3,Summer
8/15/94,15-Aug,Q3,Summer
8/16/94,16-Aug,Q3,Summer
8/17/94,17-Aug,Q3,Summer
8/18/94,18-Aug,Q3,Summer
8/19/94,19-Aug,Q3,Summer
8/22/94,22-Aug,Q3,Summer
8/23/94,23-Aug,Q3,Summer
8/24/94,24-Aug,Q3,Summer
8/25/94,25-Aug,Q3,Summer
8/26/94,26-Aug,Q3,Summer
8/29/94,29-Aug,Q3,Summer
8/30/94,30-Aug,Q3,Summer
8/31/94,31-Aug,Q3,Summer
9/2/94,2-Sep,Q3,Fall
9/3/94,3-Sep,Q3,Fall
9/5/94,5-Sep,Q3,Fall
9/6/94,6-Sep,Q3,Fall
9/8/94,8-Sep,Q3,Fall
9/9/94,9-Sep,Q3,Fall
9/11/94,11-Sep,Q3,Fall
